depth,width,stepsize,n_samples,train_loss_mean,grad_norm_mean,test_loss_mean
1,1,0.001,5,0.2280518479645252,0.8704453527087624,0.280880318582058
1,1,0.001,8,0.2565934851765633,0.8535513159799499,0.2805817015469074
1,1,0.001,10,0.25832472145557406,0.895251050902251,0.2885294772684574
1,1,0.001,20,0.27587456703186036,0.9159406650860082,0.30633527114987374
1,1,0.001,30,0.282966997474432,0.9674638257137959,0.29414357244968414
1,1,0.001,50,0.29129474312067033,0.9922913405518756,0.30588298141956327
1,1,0.001,100,0.2850718304514885,0.9920334305914589,0.26016775146126747
1,1,0.001,200,0.2881405234336853,0.9907058948183721,0.2841219544410706
1,1,0.001,300,0.2875632166862488,0.9959810642991744,0.2880400106310844
1,1,0.001,500,0.28794409036636354,0.9968301496590716,0.2838771350681782
1,1,0.001,1000,0.28708007633686067,0.994578657357987,0.28343697637319565
1,1,0.01,5,0.004050432124495273,0.012897736750486843,0.054928336835291705
1,1,0.01,8,0.002446001008502208,0.015873974947892416,0.005807535360509064
1,1,0.01,10,0.005061367782764137,0.017302358376868828,0.02487544064206304
1,1,0.01,20,0.0012030922109261156,0.011475735425317758,0.0033991987875197083
1,1,0.01,30,0.0015915839583612978,0.012573224474460918,0.003672390260908287
1,1,0.01,50,0.0016191633767448366,0.012460596492460238,0.002972287213196978
1,1,0.01,100,0.002145884931087494,0.014757492652267532,0.001967939699534327
1,1,0.01,200,0.0018419682164676487,0.014985110680879285,0.0014601809671148658
1,1,0.01,300,0.0020211285329423843,0.01582361937688759,0.002269564021844417
1,1,0.01,500,0.0020108758239075542,0.015173172506236798,0.001944914652267471
1,1,0.01,1000,0.002022282441612333,0.015312963796722845,0.0019444532052148133
1,1,0.1,5,0.0005709589953767136,0.0004409941745283824,0.000525778898736462
1,1,0.1,8,0.0004968759152689017,4.2326470167225026e-05,0.0015470918428036385
1,1,0.1,10,0.0006903549539856613,0.0011761677356860625,0.0007114305612049065
1,1,0.1,20,0.0005441247572889552,5.7850196345171936e-05,0.00300814613874536
1,1,0.1,30,0.00042180571181233973,0.0002530129918617844,0.0019963109458331018
1,1,0.1,50,0.0004643189604394138,0.0003699128964432324,0.001359238155419007
1,1,0.1,100,0.0005828332738019526,0.0008897464083466612,0.00045103973825462164
1,1,0.1,200,0.0004568145610392094,0.00033642905540098064,0.0005510220304131508
1,1,0.1,300,0.0004679536272305995,0.0004634276069799681,0.0005955511005595326
1,1,0.1,500,0.0004999790689907968,0.00047326145939031197,0.00045326591935008765
