experiment_type,model_type,degree,hidden_dim,n,stepsize_strategy,num_epochs,batch_size,train_loss,test_loss,grad_norm,dist_to_opt,weights,obj_history,grad_norm_history,dist_to_opt_history
convex_sample_complexity,regression,2,,7,fixed,10,1,0.125,0.4091284924354753,0.7250804148657373,82.93416854869602,"[0.021375910848641173, 0.022876144616559846, -0.0022454841782954074, -0.0068328740805794945, -0.015651235098021854, -0.006074579630803132, 0.03316734322259439, -0.06869301928636376, -0.02309693412289119, -0.006188933421608454, -0.03044961634902806, -0.011305633401911644, 0.03535615234612183, -0.009130058738569674, 0.0014909232452406983, 0.005654192641367372, 0.0016063443428405869, -0.002870495106156054, -0.006832874080568003, 0.005940431278406266, 0.0028349089509524202, -0.010550164634870437, -0.015651235098029355, -0.0027836749193411474, -0.024406222756466808, -0.0060745796308153835, -0.009542804557599639, 0.03294363182500816]","[0.125, 0.125]","[0.7250804148657373, 0.7250804148657373]",[82.93416854869602]
convex_sample_complexity,regression,2,,7,halving,10,1,0.125,0.3052467657140575,0.7250804148657373,82.93416854869602,"[0.029770228229729395, 0.006726064222943999, -0.01652905244028271, -0.009516142834062442, -0.016785960151718796, -0.008460066253512206, 0.04619215454733111, -0.051672908175771345, -0.007959458554997304, 0.0011112127466848748, -0.021044412975325732, -0.009327429237302369, 0.010415040537445304, -0.006495530670130638, 0.007076638725743724, 0.010413288205863666, 0.005901750151391249, -0.02437497349684765, -0.009516142834046438, 0.006572831734269053, 0.00394817732343421, -0.014693212900505655, -0.016785960151730013, -0.004729358916847366, -0.026216705480393263, -0.008460066253529283, -0.01329026265327554, 0.04588059171331242]","[0.125, 0.125]","[0.7250804148657373, 0.7250804148657373]",[82.93416854869602]
convex_sample_complexity,regression,2,,7,diminishing,10,1,0.125,0.18310558684685693,0.7250804148657373,82.93416854869602,"[0.04502380765371691, 0.019892329297809392, -0.022400146226752914, -0.01439199529341392, -0.02631102711127842, -0.01279480939133187, 0.06985995086772308, -0.09236478426978512, -0.02041499462029478, -0.0020825541917837416, -0.038410911938725825, -0.016588616526008768, 0.0307665813130461, -0.011029455729213877, 0.009733221165602683, 0.015220542005924037, 0.008215267614023077, -0.032913900605720796, -0.014391995293389718, 0.01025422364800729, 0.005971132469033293, -0.02222167684918322, -0.026311027111295255, -0.006995331234191419, -0.04108335461818768, -0.012794809391357694, -0.020099887201096348, 0.06938875041193032]","[0.125, 0.125]","[0.7250804148657373, 0.7250804148657373]",[82.93416854869602]
convex_sample_complexity,regression,2,,35,fixed,10,1,0.07608317587582238,0.42268485442858245,0.012218208144894466,123.77481684453281,"[0.09003092003451992, -0.0004062737370454112, 0.03234002834733665, -0.032608950432879924, -0.04025461985191005, -0.01566914545435104, 0.13969399697513668, -0.02995731403306986, -0.03813080843153425, 0.010931083209375397, 0.07235538425920035, 0.1158420761075721, -0.0005524868061496224, -0.015610630564512925, -0.006297368824762943, -0.02306255590247546, -0.013133240670652826, 0.05146276122491387, -0.03260895043282993, 0.018400917213773363, 0.009565982803137685, -0.05035275970695487, -0.040254619851945624, 0.157338365735647, -0.06298229702891697, -0.01566914545439501, -0.025039837879668344, 0.13875177078933779]","[0.16666666666666666, 0.16666666666666666, 0.09379908061573246, 0.07608317587582238]","[0.9303044512865041, 0.9303044512865041, 0.3773748358901842, 0.012218208144894466]",[123.77481684453281]
convex_sample_complexity,regression,2,,35,halving,10,1,0.08448817766302796,0.42270498081318697,0.08139875779833705,123.77481684453281,"[0.06263200261148917, -0.008463202743193891, 0.011792948329171334, -0.02374423320612315, -0.03152610929761584, -0.020318607781749896, 0.09718122151813445, -0.0032611347704478632, -0.018632956718452696, 0.013181176742799366, 0.064995948972376, 0.07763029377370766, -0.013021425306120606, -0.009202371708702648, 0.0010169167581829232, -0.00873887839969093, 0.0018353248263451895, 0.01952421273217392, -0.023744233206087942, 0.014573733454251812, 0.010432425799581167, -0.036665268853383885, -0.031526109297640034, 0.1079233981128179, -0.049278483275409235, -0.02031860778178775, -0.03181143873067264, 0.09652574101313739]","[0.16666666666666666, 0.1547686383507124, 0.09120358853946253, 0.08448817766302796]","[0.9303044512865041, 0.7579506895926633, 0.03907867107423758, 0.08139875779833705]",[123.77481684453281]
convex_sample_complexity,regression,2,,35,diminishing,10,1,0.08372046658479428,0.38742529654764424,0.1468786435838359,123.77481684453281,"[0.07504918916183337, -0.00015058828379549676, 0.04730410875326452, -0.02660063341042254, -0.039826832332544165, -0.03606200250016561, 0.11644800697071465, -0.014395886203041523, -0.03910098451988986, 0.007706211435980553, 0.09156550047460678, 0.11575994152217482, -0.0001700113459125411, -0.01448234814773732, -0.013774241272989401, -0.026182006781110767, 0.003134913672406912, 0.0738343868597194, -0.02660063341038111, 0.01714914365332041, 0.016172574164675463, -0.04107460535735675, -0.03982683233257285, 0.16553557529693239, -0.06222893850588031, -0.03606200250022003, -0.05602041009203439, 0.11566257335275168]","[0.16666666666666666, 0.16666666666666666, 0.09265980495443205, 0.08372046658479428]","[0.9303044512865041, 0.9303044512865041, 0.280919337751537, 0.1468786435838359]",[123.77481684453281]
convex_sample_complexity,regression,2,,71,fixed,10,1,0.06901231937833194,0.43314808831072554,0.026326942885896227,2.2687882226518776,"[0.03798788972827806, -0.024612836642877743, 0.024211187322908966, 0.024757795619844414, -0.017772690114589162, -0.009758631220244684, 0.05894286263829353, 0.0092754141406234, -0.13265860683371947, -0.059447057084954, -0.0145751650465388, -0.01696047580602639, -0.03798941089132329, 0.016602467235693596, -0.011305827551057808, 0.014631687939753757, 0.021926399657150757, 0.03777913358516477, 0.0247577956198494, -0.012977664569625643, -0.00730263873814445, 0.03826100727980557, -0.017772690114604046, 0.03956462864354374, -0.027796560251743832, -0.009758631220265677, -0.0153746181106677, 0.05854529717487829]","[0.10204081632653061, 0.10204081632653061, 0.07057128580745406, 0.08740891872761976, 0.0995620644358598, 0.06901231937833194]","[0.5841977812497453, 0.5841977812497453, 0.03763741904776243, 0.453513726867074, 0.761370237534154, 0.026326942885896227]",[2.2687882226518776]
convex_sample_complexity,regression,2,,71,halving,10,1,0.08618530761347099,0.3772028655867896,0.452410855699192,2.2687882226518776,"[0.03427869864847027, -0.007484890310043311, 0.02383574248322831, 0.009579242208428165, -0.013775981354170248, -0.0049956183665398075, 0.05318759847700097, -0.005196112596226596, -0.08672221878677991, -0.0023147668495369727, -0.009651128301171579, -0.007870301413209838, -0.011533815081163894, 0.004396289348537166, 0.05284683812731192, -0.0003520009165723951, 0.008758927336794007, 0.03711392338957672, 0.00957924220843797, -0.00551721822899888, -0.003842021192405282, 0.014809685196706229, -0.01377598135418406, 0.021288447219613007, -0.02157465553091846, -0.004995618366555821, -0.008051004406018615, 0.05282885186562225]","[0.10204081632653061, 0.10204081632653061, 0.08247166826173326, 0.06821462805303895, 0.06833467839364565, 0.08618530761347099]","[0.5841977812497453, 0.5841977812497453, 0.3086200140059601, 0.007539229027438235, 0.02979959841320945, 0.452410855699192]",[2.2687882226518776]
convex_sample_complexity,regression,2,,71,diminishing,10,1,0.07220463722185243,0.3465219865911212,0.07922580651494661,2.2687882226518776,"[0.039499834501539634, -0.0360840452835058, 0.03525756494904621, 0.010683802671678748, -0.020659574448502197, -0.011879553638752165, 0.061288830095935845, 0.017915577073219904, -0.13676232494705357, -0.012650325285662282, -0.006720330594202266, -0.013060094012922569, -0.05570849677684741, 0.012237444758869844, 0.09453359250545369, 0.0051431953840904016, 0.007511693475810283, 0.05461348537039476, 0.010683802671690239, -0.004540553501536133, -0.002079520779016318, 0.016517732093411612, -0.020659574448517355, 0.02474803777432534, -0.032283743242228484, -0.011879553638775322, -0.0186340507175971, 0.060875441246995905]","[0.10204081632653061, 0.10204081632653061, 0.07179674756444725, 0.0730139935021747, 0.0906439864196449, 0.07220463722185243]","[0.5841977812497453, 0.5841977812497453, 0.07572033089144806, 0.10810002039020135, 0.48557311984734564, 0.07922580651494661]",[2.2687882226518776]
convex_sample_complexity,regression,2,,359,fixed,10,1,0.12712361588887547,0.26124619523200454,0.5514169096012885,0.06947001212261328,"[0.041042963301581054, 0.0028796341698798266, 0.015475191069352055, 0.05266022502750277, -0.024667735999418072, 0.02270586691320568, 0.0636831833896997, -0.04839845010618064, -0.05258955144100126, 0.03793274452054854, 0.07999460666593841, 0.05466141067921574, 0.00448260609801033, 0.10790647826430924, -0.0610011299989264, -0.025501439839502038, -0.06334244286860534, 0.024573861674650175, 0.05266022502749734, -0.06448699719697616, -0.028414385761139263, 0.08136998529747004, -0.024667735999433192, 0.0013097338700066106, -0.038510433600983614, 0.0227058669132085, 0.03419805492817344, 0.06325364479617303]","[0.13147410358565736, 0.13147410358565736, 0.10526812009201797, 0.11959308425548947, 0.0938450271001613, 0.09565285119125463, 0.16118113686317773, 0.09571113634499785, 0.09563075894669101, 0.12142649380539679, 0.12298021999949142, 0.1198979841193696, 0.10649899760494602, 0.106384299320749, 0.11624212465137178, 0.09250578639701545, 0.09730236131259676, 0.09131256598749193, 0.12676530844580036, 0.10077952052783216, 0.1083110617653247, 0.09862957476191545, 0.17578347713544507, 0.11475931007771473, 0.10927736882785719, 0.10168522259552733, 0.12712361588887547]","[0.5848444258175369, 0.5848444258175369, 0.20847756980680912, 0.5945144635864898, 0.06701358538056204, 0.088314468700375, 1.2803023765440436, 0.1261969812706928, 0.09610391448233419, 0.4822577502331867, 0.5470813692573295, 0.502740646257588, 0.2355919272127294, 0.3154159040432273, 0.46698798024880245, 0.10206511972072044, 0.1124378251318049, 0.06031259357228871, 0.5346636727808852, 0.1534907267093567, 0.3243119780245651, 0.1739793454779659, 1.1200904532387654, 0.32538358098594417, 0.2144193794990785, 0.15729147214728145, 0.5514169096012885]",[0.06947001212261328]
