model_type,stepsize_strategy,num_iterations,batch_size,hidden_dim,test_loss,train_loss,grad_norm,dist_to_opt,dataset,experiment
regression,fixed,5000,1,-1,26025.4131132837,14249.249971902318,22378.98253520605,2144242.034928403,diabetes,linear_fixed_deg3
regression,halving,5000,1,-1,25985.996212427468,14228.789219235909,22337.903174380233,2144206.1737888753,diabetes,linear_fixed
regression,halving,5000,1,-1,27114.964530219528,14796.529929977425,32069.61986851556,28364.440654813472,diabetes,linear_fixed
regression,halving,8000,1,-1,27007.97842235384,14730.274693605143,31854.90713781385,28252.68901892681,diabetes,linear_fixed
regression,halving,10000,1,-1,26923.584227587136,14678.562064726773,31681.53948322808,28167.054142053465,diabetes,linear_fixed
regression,diminishing,10000,1,-1,26936.46532291941,14686.111216884941,31705.93882991377,28179.807717032872,diabetes,linear_fixed
regression,fixed,10000,1,-1,26945.007922284844,14689.67083107278,31707.883508935993,28188.877370888516,diabetes,linear_fixed
regression,fixed,10000,16,-1,26954.669624772323,14697.007498083714,31738.91698147098,28198.98338168982,diabetes,linear_fixed
regression,fixed,10000,32,-1,26919.60780140107,14675.431710713865,31669.807017801268,28162.511082449,diabetes,linear_fixed
regression,fixed,10000,32,-1,26960.495582637428,14700.47773266732,31750.067434862154,28204.863509537256,diabetes,linear_fixed,1462.0231895363197
regression,halving,10000,32,-1,26899.34151429824,14662.779591508723,31626.411883441164,28141.816933124628,diabetes,linear_fixed,1462.0231895363197
regression,halving,10000,1,-1,26918.59639034433,14674.08199086517,31660.271396518147,28161.302505011372,diabetes,linear_fixed,1462.0231895363197
regression,halving,10000,1,-1,26929.6837597745,14681.53530987976,31687.69585960757,28173.358877000017,diabetes,linear_fixed,1462.0231895363197
regression,halving,10000,1,-1,26941.753662940424,14689.0716258674,31719.70330548443,28184.312354944203,diabetes,linear_fixed,1462.0231895363197
regression,halving,10000,1,-1,26939.997193555846,14687.20046566864,31705.045794827576,28183.253215505814,diabetes,linear_fixed,1462.0231895363197
regression,fixed,10000,1,-1,26946.08293121018,14694.103696425027,31742.714263773574,28190.808065536745,diabetes,linear_fixed,1462.0231895363197
regression,fixed,10000,1,-1,26969.20315419669,14706.254172098139,31767.407906185854,28214.950039687326,diabetes,linear_fixed,1462.0231895363197
regression,diminishing,10000,1,-1,26926.496532836198,14678.514592223524,31662.26918380692,28172.04783014676,diabetes,linear_fixed,1462.0231895363197
